type;size;b;cap
buffered ; 1 ; 3500 ; 1105390.08975
buffered ; 2 ; 3500 ; 1989690.92495
buffered ; 4 ; 3500 ; 3946767.66548
buffered ; 8 ; 3500 ; 8014434.1076
buffered ; 16 ; 3500 ; 15834431.1422
buffered ; 32 ; 3500 ; 32012133.1562
buffered ; 64 ; 3500 ; 62494587.306
buffered ; 128 ; 3500 ; 119233201.82
buffered ; 256 ; 3500 ; 222630271.52
buffered ; 512 ; 3500 ; 411039584.268
buffered ; 1024 ; 3500 ; 766303568.94
buffered ; 2048 ; 3500 ; 1392842710.86
buffered ; 4096 ; 3500 ; 2550557061.9
buffered ; 8192 ; 3500 ; 3965699187.36
buffered ; 16384 ; 3500 ; 5592714175.79
buffered ; 24576 ; 3500 ; 6189609539.15
buffered ; 28000 ; 3500 ; 6434850991.01
buffered ; 32768 ; 1000 ; 6754545234.25
buffered ; 40960 ; 1000 ; 8071634745.88
buffered ; 49152 ; 1000 ; 8451432342.7
buffered ; 57344 ; 1000 ; 8776413794.93
buffered ; 65536 ; 1000 ; 8884475787.34
buffered ; 73728 ; 1000 ; 9506065113.75
sync ; 1 ; 3500 ; 1379041.01643
sync ; 2 ; 3500 ; 2574899.27044
sync ; 4 ; 3500 ; 4977110.09753
sync ; 8 ; 3500 ; 10103170.0881
sync ; 16 ; 3500 ; 20455676.2447
sync ; 32 ; 3500 ; 40207520.0899
sync ; 64 ; 3500 ; 78448938.1902
sync ; 128 ; 3500 ; 147450053.811
sync ; 256 ; 3500 ; 276356016.84
sync ; 512 ; 3500 ; 527607166.527
sync ; 1024 ; 3500 ; 962696501.637
sync ; 2048 ; 3500 ; 1825696491.03
sync ; 4096 ; 3500 ; 3100230000.05
sync ; 8192 ; 3500 ; 4929901149.65
sync ; 16384 ; 3500 ; 6662207117.39
sync ; 24576 ; 3500 ; 7746364698.23
sync ; 28000 ; 3500 ; 7985793959.29
sync ; 32768 ; 1000 ; 8162488049.83
sync ; 40960 ; 1000 ; 9787948957.0
sync ; 49152 ; 1000 ; 10210443680.9
sync ; 57344 ; 1000 ; 10443972907.5
sync ; 65536 ; 1000 ; 11510016883.0
sync ; 73728 ; 1000 ; 12161872248.5
