256;1.246752;shared;16;8
256;1.453376;shared;8;16
256;1.404480;shared;4;32
256;1.202912;shared;2;64
256;1.117536;shared;1;128
256;1.211808;shared;0;256
256;1.079552;shared;0;512
256;1.390368;shared;0;1024
256;1.873632;shared;0;2048
512;1.790944;shared;32;8
512;3.374752;shared;16;16
512;2.026336;shared;8;32
512;2.591456;shared;4;64
512;1.585952;shared;2;128
512;2.268128;shared;1;256
512;1.820416;shared;0;512
512;1.910912;shared;0;1024
512;1.926400;shared;0;2048
1024;5.186592;shared;64;8
1024;5.242304;shared;32;16
1024;5.504064;shared;16;32
1024;3.963232;shared;8;64
1024;5.584800;shared;4;128
1024;4.903744;shared;2;256
1024;5.076320;shared;1;512
1024;5.463680;shared;0;1024
1024;4.406880;shared;0;2048
2048;13.185760;shared;128;8
2048;11.639264;shared;64;16
2048;16.335745;shared;32;32
2048;11.703360;shared;16;64
2048;12.911392;shared;8;128
2048;18.108992;shared;4;256
2048;16.459616;shared;2;512
2048;17.205631;shared;1;1024
2048;13.246240;shared;0;2048
4096;68.502914;shared;256;8
4096;65.106659;shared;128;16
4096;47.304928;shared;64;32
4096;43.142048;shared;32;64
4096;76.002594;shared;16;128
4096;63.426079;shared;8;256
4096;43.259743;shared;4;512
4096;67.340767;shared;2;1024
4096;62.615105;shared;1;2048
8192;236.275009;shared;512;8
8192;250.767258;shared;256;16
8192;306.052795;shared;128;32
8192;181.901703;shared;64;64
8192;241.710754;shared;32;128
8192;210.131271;shared;16;256
8192;226.830566;shared;8;512
8192;182.454010;shared;4;1024
8192;201.357986;shared;2;2048
16384;1567.281128;shared;1024;8
16384;1086.387085;shared;512;16
16384;1273.267212;shared;256;32
16384;870.724792;shared;128;64
16384;962.668518;shared;64;128
16384;866.306580;shared;32;256
16384;1469.113159;shared;16;512
16384;822.379761;shared;8;1024
16384;1155.479980;shared;4;2048
256;1.466720;naive;16;8
256;1.345952;naive;8;16
256;1.232736;naive;4;32
256;1.160672;naive;2;64
256;1.423616;naive;1;128
256;1.265856;naive;0;256
256;1.194176;naive;0;512
256;1.246656;naive;0;1024
256;1.065792;naive;0;2048
512;1.784352;naive;32;8
512;2.105152;naive;16;16
512;2.136832;naive;8;32
512;1.543584;naive;4;64
512;1.905312;naive;2;128
512;1.905312;naive;1;256
512;2.003744;naive;0;512
512;2.105728;naive;0;1024
512;2.010624;naive;0;2048
1024;5.384128;naive;64;8
1024;5.170976;naive;32;16
1024;9.046976;naive;16;32
1024;4.849120;naive;8;64
