node,cpu,file,iter,time
6,4,1gb.txt,1,140442
6,4,1gb.txt,2,134061
6,4,1gb.txt,3,151772
6,4,1gb.txt,4,152239
6,4,1gb.txt,5,156110
6,4,1gb.txt,6,138595
6,4,1gb.txt,7,142574
6,4,1gb.txt,8,135626
6,4,1gb.txt,9,135593
6,4,1gb.txt,10,137458
6,4,5gb.txt,1,129835
6,4,5gb.txt,2,131210
6,4,5gb.txt,3,153461
6,4,5gb.txt,4,153934
6,4,5gb.txt,5,155660
6,4,5gb.txt,6,143885
6,4,5gb.txt,7,131833
6,4,5gb.txt,8,135026
6,4,5gb.txt,9,135115
6,4,5gb.txt,10,134927
6,4,10gb.txt,1,546707
6,4,10gb.txt,2,522479
6,4,10gb.txt,3,558758
6,4,10gb.txt,4,547406
6,4,10gb.txt,5,454931
6,4,10gb.txt,6,550581
6,4,10gb.txt,7,546175
6,4,10gb.txt,8,584161
6,4,10gb.txt,9,538082
6,4,10gb.txt,10,558473
12,2,10gb.txt,10 ms
12,2,10gb.txt,1,563677
12,2,10gb.txt,2,579517
12,2,10gb.txt,3,601012
12,2,10gb.txt,4,558444
12,2,10gb.txt,5,526198
12,2,10gb.txt,6,622436
12,2,10gb.txt,7,577413
12,2,10gb.txt,8,584937
12,2,10gb.txt,9,556488
12,2,1gb.txt,10,138074
12,2,1gb.txt,1,149541
12,2,1gb.txt,2,143077
12,2,1gb.txt,3,140622
12,2,1gb.txt,4,144107
12,2,1gb.txt,5,140539
12,2,1gb.txt,6,134456
12,2,1gb.txt,7,141707
12,2,1gb.txt,8,138651
12,2,1gb.txt,9,138611
12,2,5gb.txt,10,138866
12,2,5gb.txt,1,137952
12,2,5gb.txt,2,138957
12,2,5gb.txt,3,134232
12,2,5gb.txt,4,132800
12,2,5gb.txt,5,132815
12,2,5gb.txt,6,139782
12,2,5gb.txt,7,134875
12,2,5gb.txt,8,140385
12,2,5gb.txt,9,139023
1,1,10gb.txt,1,435535
1,1,10gb.txt,2,431143
1,1,10gb.txt,3,435293
1,1,10gb.txt,4,430950
1,1,10gb.txt,5,432954
1,1,10gb.txt,6,431332
1,1,10gb.txt,7,434131
1,1,10gb.txt,8,438318
1,1,10gb.txt,9,429000
1,1,10gb.txt,10,427871
1,1,1gb.txt,1,41459
1,1,1gb.txt,2,40964
1,1,1gb.txt,3,41730
1,1,1gb.txt,4,48472
1,1,1gb.txt,5,41379
1,1,1gb.txt,6,41477
1,1,1gb.txt,7,41342
1,1,1gb.txt,8,41451
1,1,1gb.txt,9,41330
1,1,1gb.txt,10,41168
1,1,5gb.txt,1,205370
1,1,5gb.txt,2,205718
1,1,5gb.txt,3,203316
1,1,5gb.txt,4,203227
1,1,5gb.txt,5,205839
1,1,5gb.txt,6,204388
1,1,5gb.txt,7,205797
1,1,5gb.txt,8,207441
1,1,5gb.txt,9,206568
1,1,5gb.txt,10,206218
