threads, array_size, random_gen, put_to_buckets, sort_buckets, bucket_offsets, write_to_array, all
5, 1000000, 0.001832, 0.021627, 0.000959, 0.000485, 0.000767, 0.025670
5, 10000000, 0.017644, 0.210702, 0.007137, 0.003863, 0.006547, 0.245896
5, 100000000, 0.175780, 2.165837, 0.060055, 0.037727, 0.054218, 2.493617
5, 1000000000, 1.947139, 41.726178, 0.742965, 0.470973, 0.587771, 45.475029
6, 1000, 0.000261, 0.000085, 0.000091, 0.000142, 0.000093, 0.000672
6, 10000, 0.000082, 0.000330, 0.000105, 0.000179, 0.000114, 0.000810
6, 100000, 0.000218, 0.002455, 0.000370, 0.000241, 0.000137, 0.003422
6, 1000000, 0.001533, 0.023124, 0.000947, 0.000465, 0.000704, 0.026773
6, 10000000, 0.014841, 0.291759, 0.006088, 0.003876, 0.005741, 0.322307
6, 100000000, 0.147077, 2.985873, 0.052303, 0.037821, 0.044606, 3.267681
6, 1000000000, 1.668024, 34.422457, 0.682122, 0.468919, 0.483980, 37.725502
7, 1000, 0.000251, 0.000081, 0.000053, 0.000112, 0.000043, 0.000540
7, 10000, 0.000070, 0.000311, 0.000087, 0.000090, 0.000066, 0.000625
7, 100000, 0.000206, 0.002359, 0.000613, 0.000143, 0.000148, 0.003469
7, 1000000, 0.001350, 0.020420, 0.001414, 0.002332, 0.000664, 0.026180
7, 10000000, 0.013240, 0.228411, 0.008409, 0.007341, 0.004758, 0.262160
7, 100000000, 0.126898, 2.837178, 0.043735, 0.036174, 0.039385, 3.083371
7, 1000000000, 1.473986, 30.040559, 0.598339, 0.461818, 0.444672, 33.019377
8, 1000, 0.000240, 0.000083, 0.000124, 0.000158, 0.000107, 0.000712
8, 10000, 0.000075, 0.000333, 0.000096, 0.000194, 0.000117, 0.000815
8, 100000, 0.000196, 0.001956, 0.000296, 0.000207, 0.000160, 0.002816
8, 1000000, 0.001202, 0.016879, 0.000719, 0.002061, 0.000534, 0.021395
8, 10000000, 0.012848, 0.185168, 0.007861, 0.003749, 0.004242, 0.213868
8, 100000000, 0.138853, 2.089819, 0.040410, 0.037264, 0.034651, 2.340999
