threads,array_size,random_gen,put_to_buckets,sort_buckets,bucket_offsets,write_to_array,all
6,1000,0.000201,0.000073,0.000044,0.000129,0.000032,0.000479
6,10000,0.000052,0.000331,0.000098,0.000086,0.000043,0.000610
6,100000,0.000221,0.002489,0.000408,0.000114,0.000108,0.003340
6,1000000,0.001553,0.024203,0.001087,0.002121,0.000746,0.029710
6,10000000,0.015355,0.227082,0.006001,0.003892,0.005538,0.257870
6,100000000,0.147030,2.777308,0.050577,0.036922,0.046649,3.058487
6,1000000000,1.719269,29.190449,0.767292,0.448122,0.472105,32.597238
7,1000,0.000258,0.000076,0.000073,0.000157,0.000088,0.000653
7,10000,0.000080,0.000373,0.000136,0.000166,0.000121,0.000876
7,100000,0.000209,0.002134,0.000404,0.000214,0.000128,0.003090
7,1000000,0.001327,0.020550,0.000774,0.002120,0.000622,0.025393
7,10000000,0.012731,0.230372,0.005159,0.004982,0.004813,0.258059
7,100000000,0.127276,2.501633,0.044995,0.039844,0.041914,2.755663
7,1000000000,1.530596,28.044180,0.642611,0.458897,0.422675,31.098960
8,1000,0.000291,0.000095,0.000072,0.000135,0.000121,0.000714
8,10000,0.000092,0.000343,0.000081,0.000162,0.000106,0.000794
8,100000,0.000275,0.001826,0.000401,0.000214,0.000138,0.002854
8,1000000,0.001192,0.018292,0.001186,0.000481,0.000878,0.022029
8,10000000,0.011567,0.202064,0.005107,0.004228,0.004262,0.227228
8,100000000,0.116568,1.971619,0.043848,0.035004,0.036490,2.203530
8,1000000000,1.340424,22.890552,0.777832,0.467759,0.432993,25.909561
9,1000,0.000334,0.000208,0.000187,0.000200,0.000093,0.001022
9,10000,0.000141,0.000688,0.000225,0.000230,0.000198,0.001482
9,100000,0.000395,0.002708,0.000466,0.000246,0.000208,0.004024
9,1000000,0.002018,0.018623,0.001091,0.000764,0.000844,0.023340
9,10000000,0.017385,0.200154,0.006606,0.008225,0.007436,0.239807
9,100000000,0.126139,1.906483,0.046163,0.043510,0.036649,2.158944
9,1000000000,1.405800,22.742151,0.618070,0.506869,0.415512,25.688403
10,1000,0.000319,0.000120,0.000128,0.000159,0.000075,0.000802
10,10000,0.000091,0.000257,0.000135,0.000217,0.000137,0.000838
10,100000,0.000224,0.002145,0.000441,0.000177,0.000150,0.003138
10,1000000,0.001794,0.018790,0.001250,0.000767,0.000891,0.023493
10,10000000,0.012663,0.190060,0.007306,0.007837,0.006693,0.224559
10,100000000,0.173682,1.962659,0.060275,0.052042,0.039211,2.287869
10,1000000000,1.416374,21.562130,0.595401,0.510432,0.428055,24.512392
1,1000,0.000013,0.000014,0.000019,0.000002,0.000003,0.000051
1,10000,0.000088,0.000111,0.000178,0.000008,0.000033,0.000418
1,100000,0.000873,0.002064,0.001617,0.000075,0.000310,0.004939
1,1000000,0.008771,0.031925,0.003866,0.000754,0.003617,0.048933
1,10000000,0.085820,0.475574,0.035819,0.008983,0.031703,0.637899
1,100000000,0.841790,4.301796,0.279186,0.074753,0.251729,5.749254
1,1000000000,8.527726,44.371705,3.108640,0.891005,2.582361,59.481440
2,1000,0.000290,0.000026,0.000021,0.000015,0.000008,0.000360
2,10000,0.000085,0.000142,0.000117,0.000024,0.000038,0.000406
2,100000,0.000459,0.000985,0.000852,0.000118,0.000183,0.002598
2,1000000,0.004286,0.009581,0.001679,0.000538,0.001557,0.017642
2,10000000,0.042534,0.150552,0.017715,0.006972,0.015936,0.233712
2,100000000,0.426578,2.201862,0.143675,0.051857,0.129524,2.953497
2,1000000000,4.427534,24.153282,1.651615,0.653629,1.340739,32.226799
3,1000,0.000193,0.000022,0.000020,0.000023,0.000016,0.000274
3,10000,0.000070,0.000150,0.000096,0.000054,0.000034,0.000404
3,100000,0.000325,0.000807,0.000660,0.000088,0.000157,0.002038
3,1000000,0.003002,0.032519,0.001827,0.000513,0.001290,0.039151
3,10000000,0.029575,0.135851,0.011434,0.006423,0.010841,0.194124
3,100000000,0.288187,1.556644,0.097997,0.044810,0.090674,2.078312
3,1000000000,2.987326,54.274870,1.345124,0.542936,0.947472,60.097729
4,1000,0.000256,0.000079,0.000051,0.000113,0.000074,0.000573
4,10000,0.000072,0.000402,0.000150,0.000086,0.000087,0.000797
4,100000,0.000280,0.002989,0.000491,0.000118,0.000139,0.004017
4,1000000,0.002259,0.027535,0.001155,0.000518,0.000944,0.032411
4,10000000,0.021886,0.306690,0.009307,0.006178,0.008344,0.352406
4,100000000,0.218100,1.471857,0.073936,0.038208,0.067230,1.869332
4,1000000000,2.445034,18.691267,0.924698,0.464679,0.719580,23.245262
5,1000,0.000277,0.000073,0.000069,0.000083,0.000094,0.000596
5,10000,0.000064,0.000325,0.000111,0.000140,0.000080,0.000720
5,100000,0.000250,0.002375,0.000446,0.000167,0.000099,0.003338
5,1000000,0.001828,0.018931,0.001065,0.000479,0.000828,0.023131
5,10000000,0.017651,0.218961,0.007077,0.004055,0.006527,0.254271
5,100000000,0.177141,2.460317,0.062085,0.040376,0.055187,2.795106
5,1000000000,1.994440,33.934506,1.058239,0.491776,0.556551,38.035512
6,1000,0.000226,0.000094,0.000036,0.000171,0.000092,0.000622
6,10000,0.000077,0.000357,0.000105,0.000176,0.000074,0.000789
6,100000,0.000218,0.002504,0.000431,0.000176,0.000146,0.003476
6,1000000,0.001538,0.022951,0.000988,0.000515,0.000640,0.026632
6,10000000,0.014768,0.274836,0.005941,0.004859,0.005257,0.305661
6,100000000,0.154667,2.458949,0.050004,0.038219,0.045192,2.747033
6,1000000000,1.771296,26.903456,0.945179,0.584833,0.469580,30.674344
7,1000,0.000229,0.000111,0.000070,0.000191,0.000083,0.000685
7,10000,0.000090,0.000347,0.000142,0.000195,0.000099,0.000873
7,100000,0.000201,0.002302,0.000360,0.000172,0.000200,0.003235
7,1000000,0.001356,0.020899,0.000804,0.001683,0.000610,0.025352
7,10000000,0.014930,0.232289,0.005113,0.004937,0.004491,0.261761
7,100000000,0.125788,2.609926,0.045257,0.036440,0.038992,2.856403
7,1000000000,1.590697,27.181607,0.674978,0.488997,0.437896,30.374176
8,1000,0.000277,0.000087,0.000101,0.000187,0.000071,0.000724
8,10000,0.000075,0.000301,0.000123,0.000224,0.000118,0.000841
8,100000,0.000204,0.002070,0.000488,0.000162,0.000174,0.003099
8,1000000,0.001196,0.016685,0.001225,0.000715,0.000602,0.020423
8,10000000,0.011204,0.211382,0.004620,0.005893,0.004225,0.237325
8,100000000,0.111202,2.108179,0.063759,0.043223,0.042137,2.368500
8,1000000000,1.509465,20.507520,0.764613,0.469163,0.417388,23.668149
9,1000,0.000320,0.000102,0.000059,0.000204,0.000078,0.000763
9,10000,0.000096,0.000400,0.000192,0.000139,0.000073,0.000901
9,100000,0.000302,0.002023,0.000491,0.000239,0.000198,0.003253
9,1000000,0.001796,0.018535,0.001213,0.000724,0.000938,0.023206
9,10000000,0.014007,0.189610,0.007873,0.006228,0.005306,0.223027
9,100000000,0.124242,1.867233,0.050785,0.050323,0.043901,2.136485
9,1000000000,1.515127,20.393178,0.648452,0.569647,0.407368,23.533772
10,1000,0.000258,0.000110,0.000123,0.000157,0.000071,0.000720
10,10000,0.000129,0.000359,0.000091,0.000217,0.000117,0.000913
10,100000,0.000225,0.002226,0.000425,0.000225,0.000134,0.003235
10,1000000,0.001855,0.019278,0.001167,0.000770,0.000802,0.023873
10,10000000,0.017510,0.182445,0.006542,0.007643,0.005027,0.219167
10,100000000,0.128040,2.110588,0.048932,0.045695,0.039633,2.372888
